English,Japanese,Emoji
one,いち,1️⃣
two,に,2️⃣
three,さん,3️⃣
four,よん,4️⃣
five,ご,5️⃣
six,ろく,6️⃣
seven,なな,7️⃣
eight,はち,8️⃣
nine,きゅう,9️⃣
ten,じゅう,🔟
eleven,じゅういち,1️⃣1️⃣
twelve,じゅうに,1️⃣2️⃣
twenty,にじゅう,2️⃣0️⃣
thirty,さんじゅう,3️⃣0️⃣
hundred,ひゃく,💯
red,赤,🔴
blue,青,🔵
yellow,黄色,🟡
green,緑,🟢
black,黒,⚫
white,白,⚪
orange,オレンジ色,🟠
pink,ピンク,🌸
purple,紫,🟣
brown,茶色,🟤
dog,犬,🐶
cat,猫,🐱
bird,鳥,🐦
fish,魚,🐟
rabbit,うさぎ,🐰
bear,くま,🐻
lion,ライオン,🦁
tiger,トラ,🐯
elephant,ゾウ,🐘
monkey,サル,🐵
panda,パンダ,🐼
horse,馬,🐴
cow,牛,🐮
pig,豚,🐷
sheep,羊,🐑
chicken,にわとり,🐔
duck,アヒル,🦆
mouse,ねずみ,🐭
snake,ヘビ,🐍
frog,カエル,🐸
apple,りんご,🍎
banana,バナナ,🍌
grape,ぶどう,🍇
strawberry,いちご,🍓
melon,メロン,🍈
peach,もも,🍑
lemon,レモン,🍋
tomato,トマト,🍅
potato,じゃがいも,🥔
carrot,にんじん,🥕
onion,たまねぎ,🧅
rice,ご飯,🍚
bread,パン,🍞
milk,牛乳,🥛
egg,卵,🥚
cheese,チーズ,🧀
meat,肉,🍖
soup,スープ,🍲
salad,サラダ,🥗
cake,ケーキ,🍰
pizza,ピザ,🍕
hamburger,ハンバーガー,🍔
curry,カレー,🍛
juice,ジュース,🧃
water,水,💧
tea,お茶,🍵
coffee,コーヒー,☕
ice cream,アイスクリーム,🍨
mother,お母さん,👩
father,お父さん,👨
sister,姉／妹,👧
brother,兄／弟,👦
grandmother,おばあさん,👵
grandfather,おじいさん,👴
family,家族,👨‍👩‍👧‍👦
friend,友だち,🧑‍🤝‍🧑
baby,赤ちゃん,👶
uncle,おじさん,🧔
aunt,おばさん,👩
parents,両親,👨‍👩‍👧
school,学校,🏫
teacher,先生,🧑‍🏫
student,生徒,🧑‍🎓
classroom,教室,🏫
book,本,📖
pencil,鉛筆,✏️
notebook,ノート,📓
desk,机,
chair,いす,🪑
bag,かばん,🎒
eraser,消しゴム,
ruler,定規,📏
scissors,はさみ,✂️
glue,のり,
textbook,教科書,📚
blackboard,黒板,
computer,コンピューター,💻
Japanese,国語,🇯🇵
English,英語,🇬🇧
math,算数,🔢
science,理科,🔬
music,音楽,🎵
art,図工,🎨
P.E.,体育,🏃
social studies,社会,🌍
homework,宿題,📝
test,テスト,📝
Sunday,日曜日,☀️
Monday,月曜日,🌙
Tuesday,火曜日,🔥
Wednesday,水曜日,💧
Thursday,木曜日,🌳
Friday,金曜日,💰
Saturday,土曜日,🌍
January,1月,❄️
February,2月,💝
March,3月,🎓
April,4月,🌸
May,5月,🎏
June,6月,☔
July,7月,🎋
August,8月,🎆
September,9月,🌕
October,10月,🎃
November,11月,🍁
December,12月,🎄
spring,春,🌸
summer,夏,☀️
autumn,秋,🍁
winter,冬,⛄
sunny,晴れ,☀️
rainy,雨,🌧️
cloudy,くもり,☁️
snowy,雪,❄️
windy,風が強い,💨
hot,暑い,🥵
cold,寒い,🥶
warm,暖かい,🌤️
head,頭,
face,顔,😀
eye,目,👁️
ear,耳,👂
nose,鼻,👃
mouth,口,👄
hand,手,✋
foot,足,🦶
arm,腕,💪
leg,脚,🦵
hair,髪,💇
tooth,歯,🦷
happy,幸せな,😊
sad,悲しい,😢
angry,怒っている,😠
tired,疲れた,😴
hungry,お腹がすいた,🤤
thirsty,のどが渇いた,🥤
big,大きい,
small,小さい,
long,長い,
short,短い,
fast,速い,💨
slow,遅い,🐢
new,新しい,🆕
old,古い,
good,良い,👍
bad,悪い,👎
easy,簡単な,
difficult,難しい,
beautiful,美しい,✨
cute,かわいい,🥰
kind,親切な,🤗
strong,強い,💪
run,走る,🏃
walk,歩く,🚶
jump,跳ぶ,🤸
swim,泳ぐ,🏊
sing,歌う,🎤
dance,踊る,💃
read,読む,📖
write,書く,✍️
play,遊ぶ,🧸
study,勉強する,📚
eat,食べる,🍽️
drink,飲む,🥤
sleep,寝る,😴
go,行く,
come,来る,
see,見る,👀
look,見る,👀
listen,聞く,👂
speak,話す,🗣️
talk,話す,🗣️
help,手伝う,🤝
like,好き,❤️
love,大好き,💕
want,ほしい,
have,持っている,
make,作る,🛠️
cook,料理する,👩‍🍳
clean,そうじする,🧹
wash,洗う,🧼
buy,買う,🛒
sell,売る,🏷️
open,開ける,🔓
close,閉める,🔒
stand,立つ,🧍
sit,座る,🪑
live,住む,🏠
visit,訪れる,🚪
house,家,🏠
park,公園,🏞️
station,駅,🚉
hospital,病院,🏥
library,図書館,📚
zoo,動物園,🦁
store,店,🏪
restaurant,レストラン,🍽️
airport,空港,✈️
sea,海,🌊
mountain,山,⛰️
river,川,
town,町,🏘️
city,市,🏙️
garden,庭,🌷
soccer,サッカー,⚽
baseball,野球,⚾
basketball,バスケットボール,🏀
tennis,テニス,🎾
volleyball,バレーボール,🏐
swimming,水泳,🏊
badminton,バドミントン,🏸
table tennis,卓球,🏓
judo,柔道,🥋
dodgeball,ドッジボール,
doctor,医者,🩺
nurse,看護師,🧑‍⚕️
police officer,警察官,👮
firefighter,消防士,🧑‍🚒
farmer,農家,🧑‍🌾
chef,コック,👨‍🍳
singer,歌手,🎤
dancer,ダンサー,💃
pilot,パイロット,🧑‍✈️
astronaut,宇宙飛行士,🧑‍🚀
vet,獣医,🐾
artist,芸術家,🎨
car,車,🚗
bus,バス,🚌
train,電車,🚆
bike,自転車,🚲
airplane,飛行機,✈️
ship,船,🚢
taxi,タクシー,🚕
what,何,❓
who,誰,❓
where,どこ,❓
when,いつ,❓
why,なぜ,❓
how,どうやって,❓
morning,朝,🌅
afternoon,午後,🌇
evening,夕方,🌆
night,夜,🌙
today,今日,📅
tomorrow,明日,⏭️
yesterday,昨日,⏮️
Japan,日本,🇯🇵
America,アメリカ,🇺🇸
China,中国,🇨🇳
